tag,tag_count,tag_ids
import-and-export-email,36,1568462;1568473;1568634;1568729;1569004;1569010;1569016;1569022;1569053;1569473;1569669;1569763;1569801;1570128;1570363;1570674;1570726;1570756;1570760;1570863;1571026;1571156;1571544;1571687;1571918;1572005;1572169;1572448;1572534;1572946;1572990;1573175;1573187;1573325;1573682;1573807
connectivity,32,1568530;1568533;1568540;1568687;1568748;1568811;1568829;1568840;1569453;1570100;1570275;1570447;1570473;1571020;1571025;1571328;1571717;1571799;1571910;1572016;1572104;1572237;1572346;1572452;1572466;1572627;1572791;1572925;1572932;1573040;1573170;1573679
junk-mail-and-spam,31,1568326;1568880;1569109;1569157;1569509;1569644;1569826;1570026;1570140;1570372;1570422;1570441;1570544;1571151;1571222;1571282;1571547;1571857;1571980;1572019;1572202;1572218;1572355;1572704;1572821;1572887;1572976;1573150;1573324;1573602;1573667
contacts,31,1568849;1569060;1569121;1569277;1569866;1569958;1569969;1569975;1570164;1570193;1570362;1570416;1570538;1570666;1570907;1571170;1571177;1571215;1571227;1571718;1571962;1572121;1572260;1572600;1573155;1573493;1573576;1573685;1573752;1573825;1573830
mac-os-x-1015,23,1568912;1569110;1569252;1569995;1570057;1570185;1570416;1570481;1570499;1570513;1570629;1570840;1571215;1571343;1571347;1571764;1571786;1572049;1572462;1572550;1572801;1573064;1573678
attachments,20,1568888;1569207;1569283;1569920;1570028;1570066;1570091;1570107;1570240;1570268;1571109;1571390;1571506;1571781;1572180;1572722;1572800;1572910;1573785;1573812
accessibility,19,1568546;1568736;1569057;1569447;1569521;1569534;1569650;1570138;1570139;1570384;1570395;1570499;1570908;1571168;1571286;1572480;1573247;1573403;1573404
app-crash,19,1568892;1569110;1569218;1569693;1569838;1570016;1570587;1570909;1570992;1570995;1571347;1571846;1572437;1572628;1572855;1573293;1573407;1573579;1573693
install,18,1568408;1568553;1569482;1569582;1569828;1570010;1570081;1570130;1571124;1571624;1571792;1572058;1572088;1572333;1572714;1573189;1573262;1573858
reset-passwords,18,1568879;1568912;1569051;1569081;1569115;1569625;1569963;1569995;1570611;1570672;1570692;1570804;1570815;1570828;1571191;1571372;1571861;1572701
calendar,17,1568358;1568435;1568545;1568874;1569086;1569095;1569362;1569912;1569924;1570510;1570594;1571454;1571622;1571683;1571790;1572687;1573414
firefox-1480,16,1568833;1568912;1569081;1569625;1570164;1570185;1570416;1570422;1570449;1570518;1570992;1571447;1571929;1572638;1572737;1572984
events,15,1568468;1568607;1568674;1568835;1569179;1569211;1570101;1571694;1572027;1572188;1572325;1573287;1573504;1573651;1573698
crashing-and-slow-performance,14,1568344;1568427;1568458;1569097;1569487;1571253;1571611;1571773;1571896;1571995;1572071;1572461;1572834;1572894
accounts,12,1568310;1568970;1569779;1570176;1570249;1570903;1570966;1571039;1571065;1571882;1572513;1572676
windows-7,12,1568408;1568540;1569851;1570130;1570403;1571448;1571687;1571740;1571754;1572210;1572594;1573371
encryption,12,1568903;1569299;1569305;1569858;1570151;1570366;1570750;1571081;1573147;1573484;1573601;1573628
extensions,11,1568690;1568806;1568966;1570629;1571327;1572611;1572624;1572660;1572713;1572952;1573140
undefined,11,1569062;1569091;1569641;1570214;1571119;1571135;1571973;1572056;1572166;1572219;1573543
installation-and-updates,11,1569440;1569821;1569949;1570120;1570471;1570521;1570836;1571866;1572677;1572984;1573426
search,11,1570163;1570452;1571019;1571143;1571693;1572447;1572931;1572936;1573582;1573620;1573646
profiles,10,1568321;1568352;1568869;1569649;1570352;1570426;1571448;1572428;1573678;1573727
import-and-export-settings,7,1568551;1568675;1569021;1570355;1570788;1571744;1573431
save-passwords,7,1568621;1569349;1569824;1570403;1570932;1572998;1573084
security,7,1568632;1569758;1571591;1571916;1572076;1572868;1572975
update,7,1568646;1570646;1571199;1571206;1572531;1573295;1573549
android,7,1569081;1570002;1570266;1570789;1571443;1571876;1572737
performance-and-connectivity,6,1569196;1570812;1571697;1571698;1572051;1573848
firefox-14802,6,1570416;1570518;1570992;1571447;1571929;1572984
languages,4,1570518;1571524;1572656;1573299
firefox-1490,4,1572887;1572904;1572916;1573571
yahoo,2,1568759;1569143
tags,2,1569537;1571695
mac-os,2,1569782;1570056
settings,2,1571260;1572755
privacy-and-security_1,2,1571501;1573614
mac-os-x-1014,2,1573051;1573858
firefox-14704,1,1568611
firefox-1470,1,1568611
windows-8,1,1568887
windows-xp,1,1570107
windows,1,1570166
firefox-14080,1,1570384
firefox-1408,1,1570384
mac-os-x-10157,1,1571773
windows-81,1,1572910
