id,title,LLM_Summary,Analyst_notes
1568603,Adding Outlook account -> missing folders,,
1568607,Appointments in Google-calendar are not visible in Thunderbird,,
1568611,Aggiornamento 147.0.4,,
1568617,Yahoo mail don't work since thunderbird 148,,
1568619,donde configurar servidor de entrada,,
1568621,Why do my google diary entries disappear following latest update to Thunderbird?,,
1568632,"OAuth doesn't provide any device info to mail provider, which limits options if ",,
1568634,How to move to a new PC with multiple accounts stored on 2 different drives?,,
1568641,after update of thunderbird from 140esr to 148 i have no access to ldap address ,,
1568645,"Unable to remove accounts from Thunderbirds ""Account Settings""",,
1568646,all'istallazione di nuova versione di sistema operativo Thunderbird ha problemi,,
1568661,Not possible to connect to server imap of ziggo,,
1568663,Remove donation request from email screen,,
1568667,"Trouble adding an account to Thunderbird using account hub - ""exchange auth erro",,
1568669,I do not receive any mails neither send emails anymore,,
1568674,How to remove old clendar tasks,,
1568675,sync all email account to all devices,,
1568680,Egift card email was in my inbox and now it's gone,,
1568687,Thunderbird account setup,,
1568690,how do I remove and cancel Owl for Exchange,,
1568693,Trouble adding Google Workspace account,,
1568701,to put forward emails,,
1568702,to put forward emails,,
1568703,to put forward emails,,
1568704,I've tried everything and can not receive or sent messages on Thunderbird,,
1568712,Gmail SMTP times out on all accounts,,
1568718,Limit of Sub-Folders?,,
1568724,Activity Monitor popup window,,
1568729,How to recover backup from TBird 145.0-1 in new 140.7.1?,,
1568736,Contact info for the blog,,
1568748,thunderbird cannot connect to aol e-mail - reason: not a valid certificate,,
1568759,New PKCE Yahoo.com account doesn't receive mail,,
1568797,Insert command disappeared from drop down list,,
1568806,Calendars disappear in recent update 148.0 (64-bit),,
1568811,Unable to connect to IMAP server message keeps appearing,,
1568829,Problems with email,,
1568833,"Nachrichten werden immer in allen 3 Konten gespeichert, wie kann die Zuordnung g",,
1568835,"There is no setting in the calendar for a recurring date on the ""last workday"" o",,
1568840,"since today in thunderbird v.148 aol-email-Authorization does not work, yesterda",,
1568842,I have archivied e-mail but there is no archive folder,,
1568848,How can I add a second outlook email account in Thunderbird?,,
1568849,Cannot import data to Thunderbird address book,,
1568851,archiviazione mail in una cartella,,
1568859,Local Drafts folder was slow then Thunderbird started resending all the emails i,,
1568867,I'm not getting my emails in my new thing I downloaded,,
1568869,Can I use thunderbird with multiple accounts on multiple PC's and stay synchroni,,
1568871,Vorrei evitare che i messaggi (invio/riposta) relativi a un argomento non fosser,,
1568874,Calendars keep disappearing!,,
1568879,How to reset primary password,,
1568880,Emails going unread into trash that I do not want to go there,,
1568882,Not receiving emails from your service.,,
1568886,how do I combine folders?,,
1568887,"my account thunderbird work only ""not on line""",,
1568888,Dragging and dropping attachments out of Thunderbird creates multiple copies,,
1568891,wo finde ich meine passwörter auf Thunderbird?,,
1568892,"Deleted several hundred emails on Feb 27, Thunderburg shutdown at same time, can",,
1568896,Do I need GMX-TopMail or works Thunderbird with FreeMail too?,,
1568903,Shaun,,
1568906,ciao.. non riesco più ad accedere all'aria casella di posta,,
1568911,My wife keeps getting a popup from Thunderbird for permission to access her Goog,,
1568912,i have been dealing with ms360 support to login to my email and accout for a pas,,
1568913,I need help canceling diseased husband’s donation to Thunderbird.,,
1568917,"After Thunderbird installer download from Mozilla website, I cannot access eithe",,
1568920,"Sort Thunderbird right-click ""Move to"" and ""Copy to"" list alphabetically",,
1568923,Followup to inquiry below,,
1568925,I need to send an email. All it says is send later,,
1568936,Bad formatting body e-mail,,
1568938,Some of my folders don't show up in Thunderbird,,
1568939,Can receive but cannot send emails from Thunderbird using an office365 mail acco,,
1568949,Where is the quota bar?,,
1568966,Add-on to customize Message Header Toolbar,,
1568971,My email asks for password constantly stoppping me from using it,,
1568990,"My message pane is now showing ""from"",""to"",Subject, ""date"" followed by lines and",,
1569000,"I send an email using bold, italic, and underline. The receiver gets *,/, and \ ",,
1569004,all  my  mail  back,,
1569006,Gmail account info disappears from Thunderbird,,
1569010,im  trying  to  get  all  my  mail  back  to  here  so  i  can  save  it  to  co,,
1569012,How to re-download gmail POP3 emails (Win 11),,
1569016,Fastest way to upload messages to EWS account?,,
1569021,Backup settings only,,
1569022,Transferring messages to EWS from local storage stops after a while with no erro,,
1569025,Paswoord voor emailadres.,,
1569028,How do I change the app icon?,,
1569029,I can't install  mail.ru in Thunderbird (Desktop Linux),,
1569036,Incoming messages are interspersed with old messages without any order.,,
1569042,"No ""Password"" field is provided for SMTP Server security setup",,
1569051,forgot password (locked duplicate),,
1569053,messaggi non scaricati di posta elettronica certificata,,
1569057,creer un compte gmail,,
1569060,"Remove ""Personal Address Book""",,
1569062,Possibility to donate,,
1569080,3 out of 4 accounts do not open anymore,,
1569081,I can't remember my thunderbird password,,
1569083,Не отправляются письма,,
1569084,"Outlook connection error: ""User is authenticated but not connected""",,
1569086,Hoe agenda's zichtbaar maken in thunderbird 148.0,,
1569091,Comment about my first full month on Thunderbird after dumping Outlook,,
1569095,Transferring calendars from one computer to another. Win 10/11,,
1569097,When opening Thunderbird on Wayland with Nvidia drivers it breaks other apps.,,
1569106,I am I able to create a Thunderbird email account ?,,
1569109,messaggi spam,,
1569110,Thunderbird frozen and won't load.,,
1569111,I have an ad from Mozilla obscuring most of my Thunderbird screen and can't get ,,
1569115,"je n'arrive plus à me connecter à ma boite mail thunderbird, mot de passe oubliu",,
1569119,archiving mails from from multiple mailaccounts stored in local mail folders,,
1569121,All email Conatacs were deleted,,
1569122,J'ai un compte ik qui va tres bien j'en veux un dexieme = impossible recherche m,,
1569126,accès à ma boite mail impossible,,
1569128,Scroll instead of new tab in Thunderbird,,
1569132,Unable to send out an email. the send button disappeared,,
1569133,Thunderbird email send stopped working something like three weeks ago.,,
1569142,Tbird E-mail storage locations,,
1569143,"re:OAuth2 Authentication for Yahoo, AOL and ATT",,
1569148,Cannot receive emails,,
1569154,frequent Yahoo Mail popup,,
1569155,"in dont understand what I have to do, im not an IT geek, im an oldie",,
1569157,"Emails from one website go to Junk, no matter what",,
1569170,Cannot acces my second email account on Thunderbird accessing earthlink.net pass,,
1569171,Over the past few days my sent emails are not copied in my sent folder,,
1569174,Problem creating a Thunderbird account using my iCloud.com email credentials,,
1569179,Dismiss or Snooze not working on Gmail account in Thunderbird 148,,
1569189,Does mailnews.oauth.usePrivateBrowser need to be true if you have 1 Yahoo! acct.,,
1569196,T-Bird won't open / load and must close using Win Task Mgr,,
1569207,To add addenda,,
1569211,Google provider quit to work,,
1569215,mail envoyé parait sur les deux messageries,,
1569218,Thunderbird keeps freezing up without crash report,,
1569230,How do I recover deleted email from a series of email addresses,,
1569248,Levelő program működési hiba,,
1569252,How to increase font size to make reading easier?,,
1569259,Thunderbird will not recognize my password which I've never changed.,,
1569271,Folder Properties / Icon Custom Colors choices are periodically reset | likely a,,
1569277,How do I put a list of many email addresses into my address book under one list ,,
1569281,"12 messages in ""draft"" folder disappeared",,
1569283,increase the attachment size to 100MB?,,
1569299,certificate for imap <edited>@peternedsmith.co.uk is not valid,,
1569305,Certificate is not valid all of a sudden,,
1569315,Links in emails are not followed,,
1569330,Er is een fout opgetreden bij het verzenden van e-mail. De mailserver antwoordde,,
1569332,Attempt to REPLY > TB opens reply screen > screen is surrounded by a thick while,,
1569335,Unable to receive/send email from outlook.office365.com,,
1569343,Can no longer access email more than 4 months old,,
1569347,New Version 148.0 Issues,,
1569349,Prompt to log onto yahoo.mail when openting Thunderbird,,
1569362,Can I restore a deleted calendar?,,
1569365,A lot of people tend to reply using an old subject. Multiple messages then becom,,
1569383,Trouble adding exchange email account,,
1569389,"suddenly thunderbird won't send mails through vodafon/uniymail, ""mail couldn't b",,
1569391,connection to server timeout version 148.0,,
1569393,Не отправляется сообщения,,
1569398,account cancellato - richiesta continua di accesso di google,,
1569410,For the past two weeks I have not been able to receive or send email,,
1569412,Sewnden der Nachricht fehlgeschlagen,,
1569413,I've lost my password.,,
1569415,Adding another orange email account.,,
1569419,Repair e-mail registers and setup,,
1569424,Does Yahoo logging records thunderbird as Virtual Gecko?,,
1569434,"Failed to save message. Check the spelling of the file name, wait a while, and t",,
1569440,new download,,
1569448,Authentication failure at log in to yahoo email from Thunderbird,,
1569449,incoming mail doesnt work anymore,,
1569451,Turn Off Notifications,,
1569453,"Thunderbird not connecting to Gmail ""Unable to log in at server. Probably wrong ",,
1569454,Lost Option to list Unread Msgs Only,,
1569460,Unified Inbox Acting VERY Strangely with v148,,
1569464,Can receive Thunderbird email but cannot send or reply.  Sudden change.,,
1569466,"I have lost the send, attach buttons on my new emails and the New message button",,
1569472,kann keine e-mail adresse einrichten,,
1569473,"Error Several times a month but I haven't made any changes. ""The message failed ",,
1569482,Thunderbird - switching from ESR to release channel installation issue.,,
1569486,How do I remove the space between lines when composing a message?,,
1569487,Extremely slow when sending an email.,,
1569509,Spam list & criteria,,
1569512,how to foward email to a group,,
1569521,How Do You Find Thunderbird Themes?,,
1569534,How to retrieve email,,
1569536,trouble adding comcast email to thunderbird - told me it didn't recognize the ad,,
1569537,My subject line doesn't show the color of my tag anymore,,
1569542,Unified folders aren't working,,
1569543,Cannot delete any office 365 emails,,
1569560,downloading yahoo mail onto thunderbird,,
1569572,presuny hromadne,,
1569577,Unable to use Two Yahoo accounts in Thunderbird Latest Version 148,,
1569580,"Why aren't copies of some messages saved in ""sent""?",,
1569582,Thunderbird is not loaded and can not be found,,
1569583,Non riesco a creare account di posta libero.it,,
1569586,"Ich kann auf meinem Computer keine Mails mehr empfangen , auf dem Handy geht es.",,
1569589,Notification of new message in Threaded View.,,
1569597,SMTP server,,
1569625,Ich habe bei Thunderbird bei der Anmeldung das Passwort vergessen.,,
1569641,how can I cancel my monthly donation  to Thunderbird?,,
1569644,A solution to  emails keep returning to spam folder...,,
1569649,Should a Profile backup create a hierarchy of folders with emails in them?,,
1569655,regelafstand verkleinen thunderbird,,
1569669,come salvare in una cartella le email senza perdere la data originale,,
1569670,How can I turn off copy/paste blocking in some of my e-mails,,
1569684,delate e- mail  account [edited]@poetworld.net,,
1569693,"Deleted several hundred emails on Feb 27, Thunderburg shutdown at same time, can",,
1569703,How Do I fix SEND wants password from another account?,,
1569715,Keep receiving  pop-ups soliciting access to my Google account from Thunderbird ,,
1569724,Gmail login problem,,
1569730,"After authenticating one Yahoo account (Oauth2), my second Yahoo account has bec",,
1569758,"A new 'pop-up' has appeared on my Thunderbird home screen with the title ""Upcomi",,
1569763,Can you help me give Thunderbird access to my Outlook pst-file?,,
1569764,Inbox mails are disappearing by it self after a month?,,
1569779,What is the purpose of charge?  1LU602365W603494C to Paypal on 1/26/26,,
1569782,Thunderbird switching to OAuth2 with PKCE,,
1569787,Xfinity conversion to Yahoo,,
1569790,sending error,,
1569791,Thunderbird hasn’t shown up on iPhone screen,,
1569801,export mails of bacukup van een map,,
1569821,Cannot download installer,,
1569824,thunderbird require email password?,,
1569826,All Mail folder in my Thunderbird appdata ImapMail folder still holds all delete,,
1569828,Download/Install Problem,,
1569833,What does popup mean to me?,,
1569838,Pop ups on Thunderbird which I can't remove,,
1569851,smtp server (salida) produce error y  no envía los mensajes,,
1569858,The certificate for imap.googlemail.com does not come from trusted source,,
1569864,Not enough disk space to download new messages - error msg. Suggestions to fix t,,
1569866,imported address book from outlook classic has problems,,
1569870,Message that it cannot be logged in server is shown.,,
1569912,Repeated request for Google login for calendar,,
1569920,email attachments not saved when filenames are similar,,
1569921,Verzenden mislukt,,
1569924,Linking Thunderbird and Outlook calendars,,
1569925,148.0 update moved trash folder,,
1569948,Een mailbericht ontvangen vanaf mijn iPhone duurt heel erg lang.,,
1569949,"I try to install Mozilla Thunderbird on my iPad, but it does not work.",,
1569958,51 I can't find the distribution list in the Addresses menu.,,
1569963,I have no master passwrod and cannt find how to get rid or change it. I have tri,,
1569966,I am unable to send small Word attachment to mailing list,,
1569969,Card book - zie geen knop om (remote) adresboek aan te maken,,
1569975,Hoe krijg je contactpersonen (liefst zelfs remote contactpersonen) in de Thunder,,
1569978,147.0.1 (64-bit) Recent problems on my Gmail account led to a reload of Tb. It a,,
1569979,I can no longer access any of my (five) aol accounts ... and I'm desperate! :(,,
1569990,Incoming messages have unreadable symbol font,,
1569995,"Can't sign into my account, i need help",,
1569998,"One specific email does not show in TB, but is present in IMAP",,
1569999,Getting Thunderbird to work properly with an exchange server (using Owl).,,
1570002,Android app displays sometimes incorrect timestamp in Sent folder,,
1570005,Thinking of move to Thunderbird,,
1570010,Werkt Thunderbird met Murena/e/os,,
1570016,Cannot open email site.,,
1570017,cannot log into yahoo starting 3/9/2026,,
1570025,New emails and outgoing emails are garbled with some kind of code string.,,
1570026,How do I display Junk mail,,
1570028,email attachments not saved when filenames are similar,,
1570040,Inbox,,
1570050,got new computer can't find where to open to access emails,,
1570054,Thunderbird stopped downloading from GMail,,
1570056,"OAuth2 Authentication for Yahoo, AOL",,
1570057,All emals don't arrive in Thunderbird on my desktop.,,
1570060,"Thunderbird shows that I have many, many incoming messages, but it will not actu",,
1570066,"When downloading email from Yahoo mail, attachments do not appear, only winmail.",,
1570079,my emails are all old from 2023,,
1570081,"thunderbird stopped working message, ""can't load xpcom"" uninstalled now won't re",,
1570091,incoming email image attachment sizes too large need resize,,
1570100,Mail Merge Automatically Disconnecting in Thunderbird on Windows 11,,
1570101,Importera kalender,,
1570107,9 mb file attachment broken up into 10 emails,,
1570122,"Eingehende Nachrichten werden wie ""Drafts"" behandelt",,
1570128,data synchronization,,
1570130,which thunderbird version should I install for Windows7 Professional?,,
1570134,I can't find my password. I hve the encrypted password. Could you please provide,,
1570138,Impossible to open mail or setting,,
1570139,Impossible to open mail or setting,,
1570140,Mail filters,,
1570141,filters stopped working (imap desktop with mobile),,
1570142,Thunderbird downloaden op iPhone,,
1570147,posta in uscita,,
1570148,Ich bin mit der Neuinstallation des Thunderbird nicht zufrieden!,,
1570151,wat betekent een melding dat mijn imap.gmail.com993 niet door een geldig certifi,,
1570153,WHY CAN'T I REPLY TO MAIL,,
1570156,Can't Create Configuratio for mail.com,,
1570163,search does not work properly,,
1570164,"After installing / loading my email ""Thunderbird / Mozilla software, I need to i",,
1570166,"password not working, I have made NO changes, the password held by Thunderbird i",,
1570167,Not Receiving Email messages,,
1570168,I'm not receiving my Email messages.,,
1570170,Cannot Link To My Email Server.....,,
1570171,Why has my sign in password suddenly failed after months of seamless sign ins,,
1570176,"Had to delete my outlook app on my iphone as it would update..stuck for days ""sp",,
1570182,How to fix password sign in?,,
1570183,Why does TB keep pausing RSS updates and how do I stop it?,,
1570185,Why doesn't my new Thunderbird version show the numger of new emails above the d,,
1570187,"I am unable to get emails, keeps asking for passwprds, but rejects them",,
1570191,MY REPLY TO EMAAILFAILS,,
1570193,"Thunderbird import not allowing to ""match names"" on import from a CSV file.",,
1570200,all of my old mail in my inbox are gone.  how can I get them back.,,
1570205,I am having Password problems with mail.com.  Just started this morning,,
1570208,I have lost my toolbars when sending or receiving,,
1570214,IMAP Delete/Expunge Failure on TB 140.7ESR with Gmail (macOS 15.2),,
1570221,Defering or delaying compacting mailboxes,,
1570231,"Thunderbird has ""lost"" the Send button",,
1570235,Can thunderbird be configured to open in a tab,,
1570239,My server settings are incorrect on two of my three email addresses. How do I co,,
1570240,"Pictures from phone to Thunderbird only shows extension #, not actual picture",,
1570246,"Does TB have a ""complication"" that I can put on my watch face?",,
1570253,Lately all my 2026 emails from yahoo removed?,,
1570266,Filtri,,
1570268,Thunderbird move to next message on remove attachments,,
1570275,No chance to connect some Outlook accounts to Thunderbird?,,
1570279,Remove arrow from Subject field,,
1570280,"Wie kann ich bei Thunderbird die Vorlage ändern, die aufgerufen wird bei der Fun",,
1570287,I have my Thunderbird account set to require a Primary Password which is a pain ,,
1570295,Thunderbird is prematurely word wrapping send emails,,
1570321,Unable to send emails,,
1570326,"NON FUNZIONA LA POSTA DI ALICE IN ENTRATA ED USCITA, DA ALICE MAIL SI",,
1570328,"Inconsistent Threading: Some Conversations Show Carrots, Others Don’t (Even With",,
1570333,HELP I have asked for help with this problem and no one seems to know,,
1570338,Folders will not delete,,
1570339,I cannot send from an Office365 account but can get mail,,
1570341,I can't see sent mail in sent folder,,
1570345,non riesco ad inviare messaggi,,
1570352,"have 5 default files in profile, are all needed",,
1570355,Moving Thunderbird profile  from a w11 computer  to a second new computer w11 va,,
1570362,I want to connect to a remote CardDAV Address book but the option in Account Hub,,
1570363,Moving email from GMail to Thunderbird; have GM 'Takeouts; have TB addon import/,,
1570366,"J'ai déjà un mail gmx , ""andre.et@gmx.fr"" est-ce cette adresse qui est crypter ?",,
1570370,I have lost old emails in my AOL inbox (locked duplicate),,
1570372,I ger a dozen messages a day from a domain containing firebaseapp.com and I cann,,
1570381,TB not recognizing Outlook Personal account as viable SMTP account (evidently),,
1570384,How do I get Thunderbird to default to closed threads?,,
1570393,"There is no send, attach, or save buttons",,
1570395,latest ics file in Win10 Pro,,
1570396,"thunderbird always opens at odd sizing every time, regardless of any setting",,
1570397,"How to set up archiving WITHOUT year folders, and preserving original folder hie",,
1570402,Błędnie wyświetlające się foldery,,
1570403,TB will not save login-in password,,
1570406,Why is Thunderbird no longer able to log into my AOL IMAP account after the 3/10,,
1570412,create subfolders,,
1570416,We often get emails from suppiers who use Netsuite and the email is mis-identifi,,
1570420,Problems with a Hotmail account,,
1570422,how do I get rid of yahoo popups that have recently plagued Thunderbird,,
1570426,T-bird not accepting my Win10 -> Win11 move,,
1570437,"Size of mailboxes, size of sent mailbox for linux thunderbird",,
1570438,"I am missing an ""all mail"" folder",,
1570441,SPAM filtering improved with current release??,,
1570447,Message from TB,,
1570449,My primary email address gets wiped automatically every late evening,,
1570450,Backups using Acronis True Image for Western Digital cannot access Thunderbird f,,
1570452,Cercare email velocemente,,
1570471,Downgrade from Release 148.0.1 to 140.8.1esr,,
1570473,"I would like to add an apple account (mail, calender, adresses,... etc) to thund",,
1570475,Nejde mi smazat původní podadresáře archivu,,
1570481,"ik krijg melding dat Uil licentie verloopt, alleen de 'koop licentie' button wer",,
1570484,alice di tim non funziona,,
1570490,"Account verwijderd, mails na 2 jaar nog in het systeem te vinden",,
1570499,shortcut for moving from folder list to message pane,,
1570505,"Keeps rejecting e-mail address, but it is correct.",,
1570510,How can I share calenders from multiple computers that don't have internet acces,,
1570513,zie bijgaand de screenshot. het gaat om de koppeling van Thunderbird met Office3,,
1570518,How do I change the American date format for the British format?,,
1570520,Sinds deze morgen verschijnen een soort programmeertaal in mijn ontvangen mails ,,
1570521,How can I change from Thunderbird ESR to Release,,
1570524,how do I change/fix the line pitch in Thunderbird?,,
1570527,why won't thunderbird email import from typeapp,,
1570538,Importing CSV address books does not work properly.,,
1570540,Thunderbird 148.01.1 (64bit) and just collected new emails can't be seen on the ,,
1570544,"On new hp laptop the email trash file shows no option ""empty trash"" option anymo",,
1570548,Yellow diamond to indicate new email in a folder no longer working,,
1570556,thunderbird has stopped recvng msgs from @embarqmail and @gmail stating password,,
1570557,in thunderbird I can't send emails from aol account (I can send to same address ,,
1570558,password problems,,
1570559,logout and restart,,
1570560,getting logged out too quickly,,
1570563,THUNDERBIRD : e-mail file won't delete,,
1570576,"Vorrei eliminare i caratteri ""Re:"" quandoi rispoindo ad una email. Sono riuscito",,
1570577,"Buonasera, come posso risolvere il problema delle mails e cartelle che spariscon",,
1570581,How to add a new email address to my Thunderbird email page,,
1570582,How to remove old printers from Thunderbird application,,
1570587,thunderbird 140.8.1 will not run unless restart of mac mini ios15.7.4 sequoia. o,,
1570594,How to disable calendar?,,
1570603,problem to add account gmx email,,
1570611,HOW DO I CHANGE MY PASSWORD ON thunderbird,,
1570614,move the panel to the right,,
1570622,Can't compact some folders,,
1570625,Problema com login - Resolvido,,
1570629,Not all Google calendars visible,,
1570638,"Thunderbird constantly showing that I have new messages, despite not having anyt",,
1570646,"I updated Thunderbird to 148.01, updated the incoming and outgoing mail configur",,
1570666,Retreiving variables / data from email,,
1570670,Lost all saved email data,,
1570672,nie mogę wysłac maila,,
1570673,ik krijg geen email van mijn kpn mails te zien?,,
1570674,Will Thunderbird be a better alternative than Outlook for Mac in 365?,,
1570691,recommencer avec Thunderbird,,
1570692,I have forgotten my password.,,
1570700,Folder list not updating,,
1570703,In einem Bereich werden E-Mails nach Tagen zusammengefasst. Wie kann man das an-,,
1570713,"550 5.7.1 Unfortunately, messages from [37.230.98.4] weren't sent.,Part of their",,
1570722,I can't get messages to open up in a third window like my desktop does,,
1570723,"Email folder in unified inbox and another same email in folders, cannot access d",,
1570726,Does Thunderbird store emails after you delete the email from Outlook?,,
1570727,All current year INBOX emails disappeared--no luck repairing folder or deleting ,,
1570735,Thunderbird shortcut buttons,,
1570739,lost folders,,
1570747,Getting Yahoo Page covering over my Thunderbird page with no practical way to re,,
1570749,"Trying to create an email filter, however, the screen/window display will not sh",,
1570750,importing pgp keys from Thunderbird on Linux to Thunderbird on Windows 11 produc,,
1570751,I cant send email any more there is no send place to click,,
1570752,How can i have multiple email address to my email,,
1570756,the complement importexporttools ng does not allow me to import mbox file... onl,,
1570760,"Moved files to a new windows 11 machine and everything is lost, even tho everyth",,
1570788,How do I transfer message filters,,
1570789,Can't sign in Google account verification code never comes through,,
1570804,Buongiorno uso Mozilla thundebird  non ricordo la chiave principale come fare a ,,
1570808,prevent firefox opening a new message when i put one in the garbage can,,
1570812,Repeated Error Issue in Thunderbird – Request for Assistance,,
1570815,Ich habe mein Passwort zu meiner Email vergessen,,
1570819,SMTP configuration,,
1570828,Ho dimenticato la password principale posta elettronica come fare per recuperarl,,
1570836,"comment créer un dossier (imap) ""COMMERCIAL"" qui puisse recevoir des mails",,
1570840,"Nachrichten, die ich verfasse, werdem mit einer falschen Zeit (+3 Stunden) gespe",,
1570858,authentication method in ≡ > Account Settings > Server Settings does not give OA,,
1570863,Want to migrate AOL large email file with 2000 emails to my hard drive which is ,,
1570866,Come impostare correttamente la codifica caratteri delle email inviate automatic,,
1570867,"Don't know how to get back to older question, basically a continuation",,
1570874,I have a gmail account linked on thunderbird and want to access my password so I,,
1570903,Cannot create a accounts for Microsoft and Appl atm,,
1570906,Tweak with extensions or go to config flags?,,
1570907,What is the file name of a new address book you create..,,
1570908,"What Windows System is on this computer?  It says Windows 11, this this true?",,
1570909,"Thunderbird ist geöffnet, jedoch kommt die Meldung 'Keine Nachricht gefuinden' .",,
1570915,thunderbird.tmp folder in Downloads (Linux ARM64),,
1570925,"After connecting to Yahoo for 6 weeks, it suddenly times out when downloading me",,
1570932,"Thunderbird keeps asking for server password, never did before.",,
1570933,thunderbird corompu,,
1570966,"my thunderbird was deleted and although I have all my inbox emails, all my local",,
1570975,la versione 148 in neon linux non accede a nessun account di posta e richiede se,,
1570987,Fehler bei Versenden meiner t-online e-mail,,
1570991,Thunderbird in Cards view: How do I reply to an email?,,
1570992,thunderbird does not respond,,
1570995,Quando avvio la STAMPA il programma si blocca sulla Preparazione alla Stampa,,
1571006,aprire una nuova finestra in Thunderbird,,
1571015,What is the best way to respond to an email sent to a group by Replying to the s,,
1571016,A Feature I Think Would Be Helpful,,
1571017,Thunderbird is failing to download my emails.  I don't know why.  It is failing ,,
1571019,Can I exclude a term from an email search (e.g. no 'Amazon')?,,
1571020,Thunderbird has stopped connecting to yahoo/att.net since 3/13/2026.,,
1571025,krijg geen mail meer binnen vis g.mail.com,,
1571026,Hello. I have tried to copy my Thunderbird account to my MacBook. This has  happ,,
1571039,why I can't receive email messages sent from proton.me on my gmail.com account?,,
1571050,I have 4 email accounts. When an email comes in to one of them it also goes to A,,
1571053,"After an update, the prompt window to relogin to Yahoo and AOL displays an error",,
1571065,why is there a $20 charge on my credit card?,,
1571068,How to arrange columns for viewing messages,,
1571079,How can I change my email password in Thunderbird,,
1571080,syncing problim,,
1571081,"Repeated gmail problem with error message: ""The certificate for imap.gmail.com:9",,
1571106,I am unable to add my google workspace account,,
1571109,incoming email size and attachment image storage and efficiency,,
1571119,Email Access Issue – Thunderbird,,
1571124,メールソフトインストールギブアップです。（ヘルプ可能ですか）,,
1571135,Request to Remove My Email from Bugzilla Notifications,,
1571138,I have just started being asked to enter password.,,
1571143,thunderbird search find nothing,,
1571147,Issue With Sent Folder,,
1571151,Settings being ignored,,
1571156,Thunderbird for email back up.,,
1571159,Problem accessing Thunderbird (gmx.com account): Login to server imap.gmx.com wi,,
1571164,Can't connect to server to get our emails by computer.,,
1571166,issue with login,,
1571170,Importeren adresboek uit WLM,,
1571176,Loss of all mails in my local archive,,
1571177,why cant i make a mailing list in contacts,,
1571185,Error message: server does not support activesync v.2.5 in thunderbird,,
1571190,Warum werden die Mails nicht mehr richtig angezeigt - ohne erst auf einen Link k,,
1571191,Forgotten Thunderbird primary password,,
1571199,message tabs disappear after update,,
1571205,impossibilité de me connecter à mon serveur Yahoo depuis le 10 mars,,
1571206,"ich möchte mein Tunderbird Konto wieder einrichten, ich hatte es geupdatet und s",,
1571211,"When the popup shows during a new Google account setting, if I clic on ""Access"",",,
1571215,"I wish to do a mass import of vcf cards, how?",,
