period,headline,version_major,cause_dim,cause_value,observed,version_total_period,cause_rate_overall,expected,lift,novelty,cause_prior_periods,pair_prior_periods,answered_pct,unanswered,median_first_answer_h,question_ids,example_urls,example_titles
2026-04-13,v149 x m:comcast: 5 questions (4x expected),149,mail_provider,m:comcast,5,85,0.0164,1.39,3.6,new,0,0,80,1,5.2,1576242 1576770 1576781 1576905 1577059,https://support.mozilla.org/questions/1576242 https://support.mozilla.org/questions/1576770 https://support.mozilla.org/questions/1576781 https://support.mozilla.org/questions/1576905 https://support.mozilla.org/questions/1577059,I cannot receive emails in Thunderbird from my Comcast email | I changed from comcast email to yahoo email but I'm having t | won`t download e-mail from xfinity | Unable to configure COMCAST e-mail | Login to Server imap.comcast.net with Username Failed
2026-06-08,v140 x proto:smtp: 7 questions (4x expected),140,protocol,proto:smtp,7,40,0.0495,1.98,3.5,new,0,0,71,2,0.9,1586270 1586285 1586356 1586431 1587007 1587132 1587455,https://support.mozilla.org/questions/1586270 https://support.mozilla.org/questions/1586285 https://support.mozilla.org/questions/1586356 https://support.mozilla.org/questions/1586431 https://support.mozilla.org/questions/1587007 https://support.mozilla.org/questions/1587132 https://support.mozilla.org/questions/1587455,Can't send emails - tried everything | Thunderbird can not send emails from my Spectrum email accou | verifica blocco invio email verso Hotmail/Outlook | Unable to send e-mail - please help | Bij het opstarten van Thunderbird zie ik vaak de melding ver
2026-06-29,v140 x feat:junk: 4 questions (3x expected),140,feature,feat:junk,4,45,0.0274,1.23,3.2,new,0,0,100,0,6.7,1590147 1590586 1590755 1591038,https://support.mozilla.org/questions/1590147 https://support.mozilla.org/questions/1590586 https://support.mozilla.org/questions/1590755 https://support.mozilla.org/questions/1591038,Way to Get spam and fake sites off | Mijn pc zou spam versturen. | How to run junk mail filters on a particular folder | How do I install a junk folder in with the other folders ( i
2026-02-09,v147 x m:yahooemail: 5 questions (3x expected),147,mail_provider,m:yahooemail,5,29,0.0546,1.58,3.2,new,0,0,20,4,72.6,1565471 1565472 1565608 1565766 1565849,https://support.mozilla.org/questions/1565471 https://support.mozilla.org/questions/1565472 https://support.mozilla.org/questions/1565608 https://support.mozilla.org/questions/1565766 https://support.mozilla.org/questions/1565849,erro ao criar conta .yahoo.com.br | erro ao criar conta .yahoo.com.br | Aol spam folder is empty. Regular mail is received okay. | no puedo añadir cuenta correo Yahoo a Thunderbird | Yahoo Mail Login Error
2026-06-22,v152 x feat:addressbook: 5 questions (3x expected),152,feature,feat:addressbook,5,80,0.0202,1.62,3.1,new,0,0,80,1,6.3,1589199 1589395 1589557 1589656 1589657,https://support.mozilla.org/questions/1589199 https://support.mozilla.org/questions/1589395 https://support.mozilla.org/questions/1589557 https://support.mozilla.org/questions/1589656 https://support.mozilla.org/questions/1589657,how do I copy my windows 10 thunderbird address book to my w | TB address book has duplicate entries or other entries that  | Empty Contacts add book | Create a new CardDav contacts list (connected to Gmail) on T | How can I create a recipient group in the Thunderbird addres
2026-06-08,v151 x m:spectrum: 9 questions (5x expected),151,mail_provider,m:spectrum,9,87,0.0214,1.86,4.8,spreading,1,0,100,0,14.3,1586383 1586405 1586446 1586481 1586486 1586494 1586504 1586530 1587106,https://support.mozilla.org/questions/1586383 https://support.mozilla.org/questions/1586405 https://support.mozilla.org/questions/1586446 https://support.mozilla.org/questions/1586481 https://support.mozilla.org/questions/1586486 https://support.mozilla.org/questions/1586494 https://support.mozilla.org/questions/1586504 https://support.mozilla.org/questions/1586530 https://support.mozilla.org/questions/1587106,"Email Accounts are highlighted RED | The certificate for mobile.charter.net does not come from a  | Unable to receive and send emails. | Connetion error, can't recieve emails | Thunderbird is showing Certificate for mobile.charter.net:99"
2026-02-23,v148 x feat:calendar: 8 questions (4x expected),148,feature,feat:calendar,8,63,0.032,2.02,4.0,spreading,1,0,100,0,1.3,1567678 1567859 1567878 1567951 1567961 1568051 1568303 1568435,https://support.mozilla.org/questions/1567678 https://support.mozilla.org/questions/1567859 https://support.mozilla.org/questions/1567878 https://support.mozilla.org/questions/1567951 https://support.mozilla.org/questions/1567961 https://support.mozilla.org/questions/1568051 https://support.mozilla.org/questions/1568303 https://support.mozilla.org/questions/1568435,"TB 148 seems to 'break' Google calendars, using Provider | In Thunderbird/Adressbuch sind Geburtsdaten eingetragen. Was | No connection between Google agenda since up date of thunder | My google calendar disappeared all of the sudden | Mail sync issue led to Mail disappearing after troubleshooti"
2026-08-24,v153 x m:spectrum: 4 questions (4x expected),153,mail_provider,m:spectrum,4,48,0.0214,1.03,3.9,spreading,2,0,75,1,3.7,1600000 1600041 1600103 1601143,https://support.mozilla.org/questions/1600000 https://support.mozilla.org/questions/1600041 https://support.mozilla.org/questions/1600103 https://support.mozilla.org/questions/1601143,Suddenly can't send/receive emails | I can receive but not send emails | Cannot send or receive email. (locked duplicate) | IMAP accounts no longer update - Charter/Spectrum email host
2026-07-06,v152 x feat:attachments: 6 questions (4x expected),152,feature,feat:attachments,6,65,0.0236,1.53,3.9,spreading,1,0,83,1,9.4,1591539 1591623 1591963 1592003 1592159 1592598,https://support.mozilla.org/questions/1591539 https://support.mozilla.org/questions/1591623 https://support.mozilla.org/questions/1591963 https://support.mozilla.org/questions/1592003 https://support.mozilla.org/questions/1592159 https://support.mozilla.org/questions/1592598,"Couldn't forward attachment which I received. | Adding items to the files & attachment section | sending of the message failed. there was an error attaching  | **Intermittent error when forwarding emails with attachments | In un ambiente aziendale, gli archivi localizzati o in disch"
2026-08-31,v154 x feat:attachments: 5 questions (4x expected),154,feature,feat:attachments,5,56,0.0236,1.32,3.8,spreading,3,0,100,0,3.5,1601404 1601512 1601528 1601583 1601835,https://support.mozilla.org/questions/1601404 https://support.mozilla.org/questions/1601512 https://support.mozilla.org/questions/1601528 https://support.mozilla.org/questions/1601583 https://support.mozilla.org/questions/1601835,can not print email attachments | Stampa fogli bianchi gli allegati delle mail | Printen van bijlage in thunderbird lukt me niet meer | Kan bijlage niet meer printen in thunderbird | I have problems as I can not send attachments
2026-07-20,v140 x feat:attachments: 4 questions (4x expected),140,feature,feat:attachments,4,46,0.0236,1.08,3.7,spreading,2,0,75,1,4.7,1593912 1594596 1594642 1594710,https://support.mozilla.org/questions/1593912 https://support.mozilla.org/questions/1594596 https://support.mozilla.org/questions/1594642 https://support.mozilla.org/questions/1594710,How to open an attachment in Thunderbird? | Attachment preview problem | Delete attachments Thunderbird has opened. | Thunderbird email attachments disappear when message trashed
2026-09-07,v153 x m:yahooemail: 7 questions (3x expected),153,mail_provider,m:yahooemail,7,39,0.0546,2.13,3.3,spreading,2,0,14,6,5.1,1602816 1602845 1603033 1603355 1603404 1603516 1603754,https://support.mozilla.org/questions/1602816 https://support.mozilla.org/questions/1602845 https://support.mozilla.org/questions/1603033 https://support.mozilla.org/questions/1603355 https://support.mozilla.org/questions/1603404 https://support.mozilla.org/questions/1603516 https://support.mozilla.org/questions/1603754,How can I get emails coming into the correct account and be  | pCENT error for Yahoo when using OAuth2 | authentication errors | Update: @rocketmail.com address not recognized | Unable to write the email to the mailbox error message
2026-06-15,v152 x feat:calendar: 5 questions (3x expected),152,feature,feat:calendar,5,48,0.032,1.54,3.3,spreading,3,0,80,1,29.1,1587939 1588292 1588345 1588394 1588814,https://support.mozilla.org/questions/1587939 https://support.mozilla.org/questions/1588292 https://support.mozilla.org/questions/1588345 https://support.mozilla.org/questions/1588394 https://support.mozilla.org/questions/1588814,"buongiorno, da un po di tempo gli appuntamenti sul calendari | Calendar (Thunderbird 152 on Windows 11)  keeps asking authe | appointments on the calendar that were scheduled before I op | Choose a calendar reminder action | Loading old calendar from an old profiel"
2026-08-24,v154 x m:spectrum: 8 questions (3x expected),154,mail_provider,m:spectrum,8,116,0.0214,2.48,3.2,spreading,2,0,88,1,13.7,1600052 1600872 1600919 1600982 1601056 1601071 1601159 1601196,https://support.mozilla.org/questions/1600052 https://support.mozilla.org/questions/1600872 https://support.mozilla.org/questions/1600919 https://support.mozilla.org/questions/1600982 https://support.mozilla.org/questions/1601056 https://support.mozilla.org/questions/1601071 https://support.mozilla.org/questions/1601159 https://support.mozilla.org/questions/1601196,Trouble connecting to my email provider Time Warner Corporat | I can send email but can not receive. | how Can i get help when my email doesn't work? | Thunderbird not working again with Spectrum emails. | Thunderbird 154.0 is causing extremem issues with Spectrum e
2026-02-23,v148 x m:yahooemail: 11 questions (3x expected),148,mail_provider,m:yahooemail,11,63,0.0546,3.44,3.2,spreading,1,0,100,0,3.9,1567691 1567818 1567871 1567897 1567998 1568124 1568258 1568282 1568372 1568434 1568506,https://support.mozilla.org/questions/1567691 https://support.mozilla.org/questions/1567818 https://support.mozilla.org/questions/1567871 https://support.mozilla.org/questions/1567897 https://support.mozilla.org/questions/1567998 https://support.mozilla.org/questions/1568124 https://support.mozilla.org/questions/1568258 https://support.mozilla.org/questions/1568282 https://support.mozilla.org/questions/1568372 https://support.mozilla.org/questions/1568434 https://support.mozilla.org/questions/1568506,Thunderbird 148.0 breaks AOL authentication | thunderbird update 148 rompe oauth2 de yahoo | Login problem after Thunderbird 148.0 (64-bit) (update) as a | Since v148.0 I cannot use my yahoo and AOL account why? | Duplicate email messages downloading to both my mailboxes
2026-09-07,v155 x feat:filters: 6 questions (3x expected),155,feature,feat:filters,6,94,0.0209,1.97,3.1,spreading,1,0,50,3,4.3,1602820 1602914 1602916 1603094 1603242 1603281,https://support.mozilla.org/questions/1602820 https://support.mozilla.org/questions/1602914 https://support.mozilla.org/questions/1602916 https://support.mozilla.org/questions/1603094 https://support.mozilla.org/questions/1603242 https://support.mozilla.org/questions/1603281,Email filter problem after update | Message filters screwed up in Thuderbird 155 | message filters have stopped working. | Cuando bajo los correos estos no respetan la regla de filtro | For every filter I get a message saying that the filter coul
2026-07-27,v153 x m:comcast: 4 questions (3x expected),153,mail_provider,m:comcast,4,79,0.0164,1.29,3.1,spreading,1,0,75,1,5.4,1595937 1595941 1596164 1596297,https://support.mozilla.org/questions/1595937 https://support.mozilla.org/questions/1595941 https://support.mozilla.org/questions/1596164 https://support.mozilla.org/questions/1596297,Need help recovering my profile from a zip file | Why can't Thunderbird use new yahoo email platform for Comca | With version 153: Unable to send from gmail account.  And ca | Trying to set APP Password to connect with Yahoo Mail conver
2026-08-24,v154 x feat:printing: 17 questions (11x expected),154,feature,feat:printing,17,116,0.0135,1.56,10.9,recurring,1,1,88,2,10.7,1599969 1600094 1600149 1600228 1600392 1600397 1600407 1600408 1600481 1600600 1600607 1600692 1600880 1600954 1600976 1600978 1601074,https://support.mozilla.org/questions/1599969 https://support.mozilla.org/questions/1600094 https://support.mozilla.org/questions/1600149 https://support.mozilla.org/questions/1600228 https://support.mozilla.org/questions/1600392 https://support.mozilla.org/questions/1600397 https://support.mozilla.org/questions/1600407 https://support.mozilla.org/questions/1600408 https://support.mozilla.org/questions/1600481 https://support.mozilla.org/questions/1600600 https://support.mozilla.org/questions/1600607 https://support.mozilla.org/questions/1600692 https://support.mozilla.org/questions/1600880 https://support.mozilla.org/questions/1600954 https://support.mozilla.org/questions/1600976 https://support.mozilla.org/questions/1600978 https://support.mozilla.org/questions/1601074,[Known Issue] Thunderbird printing empty PDF files. | nejde tisk z thunderbirdu | Thunderbird 154 PDF preview prints blank pages | kan ineens een PDF bijlage bij een Thunderbird mailtje niet  | Printing from Thunderbird since version 154.0 on Windows 11 
2026-08-31,v154 x feat:printing: 8 questions (11x expected),154,feature,feat:printing,8,56,0.0135,0.75,10.6,recurring,2,2,100,0,4.7,1601286 1601306 1601367 1601404 1601512 1601528 1601564 1601583,https://support.mozilla.org/questions/1601286 https://support.mozilla.org/questions/1601306 https://support.mozilla.org/questions/1601367 https://support.mozilla.org/questions/1601404 https://support.mozilla.org/questions/1601512 https://support.mozilla.org/questions/1601528 https://support.mozilla.org/questions/1601564 https://support.mozilla.org/questions/1601583,Ik kan niet meer printen vanuit Thunderbird. Is er een stori | Problemi di stampa | PDF se vytiskne prázdné. | can not print email attachments | Stampa fogli bianchi gli allegati delle mail
2026-03-16,v140 x feat:calendar: 4 questions (5x expected),140,feature,feat:calendar,4,26,0.032,0.83,4.8,recurring,2,1,0,4,,1571454 1571619 1571683 1571790,https://support.mozilla.org/questions/1571454 https://support.mozilla.org/questions/1571619 https://support.mozilla.org/questions/1571683 https://support.mozilla.org/questions/1571790,Help ... No Writable Calendar | Calendar Events Take Focus | Calendar event reminders not showing before event | Calendar events do not remain displayed in reminder window
2026-03-02,v148 x proto:oauth: 6 questions (4x expected),148,protocol,proto:oauth,6,56,0.0281,1.58,3.8,recurring,1,1,83,1,10.3,1569335 1569448 1569560 1569577 1569730 1569838,https://support.mozilla.org/questions/1569335 https://support.mozilla.org/questions/1569448 https://support.mozilla.org/questions/1569560 https://support.mozilla.org/questions/1569577 https://support.mozilla.org/questions/1569730 https://support.mozilla.org/questions/1569838,"Unable to receive/send email from outlook.office365.com | Authentication failure at log in to yahoo email from Thunder | downloading yahoo mail onto thunderbird | Unable to use Two Yahoo accounts in Thunderbird Latest Versi | After authenticating one Yahoo account (Oauth2), my second Y"
