date,dim,value,count,baseline_median,magnitude,kind,question_ids,example_urls,example_titles
2026-06-18,tb_version_major,152,13,0.0,new,new/dormant,1588073 1588093 1588098 1588132 1588143 1588174 1588176 1588209 1588222 1588234 1588251 1588256 1588268,https://support.mozilla.org/questions/1588073 https://support.mozilla.org/questions/1588093 https://support.mozilla.org/questions/1588098 https://support.mozilla.org/questions/1588132 https://support.mozilla.org/questions/1588143 https://support.mozilla.org/questions/1588174 https://support.mozilla.org/questions/1588176 https://support.mozilla.org/questions/1588209 https://support.mozilla.org/questions/1588222 https://support.mozilla.org/questions/1588234 https://support.mozilla.org/questions/1588251 https://support.mozilla.org/questions/1588256 https://support.mozilla.org/questions/1588268,"How do I remove the message count - see image | Emails stay bold after they are opened | Is there an easy way to switch from BetterBird to Thunderbir | la structure des répertoires de thunderbird n'a pu etre list | email bericht verwijderd uit de prullenbak, deze weer terug "
2026-06-17,tb_version_major,152,7,0.0,new,new/dormant,1587869 1587934 1587939 1587944 1587952 1587963 1587970,https://support.mozilla.org/questions/1587869 https://support.mozilla.org/questions/1587934 https://support.mozilla.org/questions/1587939 https://support.mozilla.org/questions/1587944 https://support.mozilla.org/questions/1587952 https://support.mozilla.org/questions/1587963 https://support.mozilla.org/questions/1587970,"40-50 secondi per collegarsi con host | im not receiving my emails from 3 weeks ago a slow drop of i | buongiorno, da un po di tempo gli appuntamenti sul calendari | O imap não está listado nas passwords, mas funciona. Porque? | I can't register my Yahoo Mail account due to an authenticat"
2026-06-09,isp,isp:spectrum,7,0.0,new,new/dormant,1586383 1586405 1586446 1586481 1586486 1586494 1586504,https://support.mozilla.org/questions/1586383 https://support.mozilla.org/questions/1586405 https://support.mozilla.org/questions/1586446 https://support.mozilla.org/questions/1586481 https://support.mozilla.org/questions/1586486 https://support.mozilla.org/questions/1586494 https://support.mozilla.org/questions/1586504,"Email Accounts are highlighted RED | The certificate for mobile.charter.net does not come from a  | Unable to receive and send emails. | Connetion error, can't recieve emails | Thunderbird is showing Certificate for mobile.charter.net:99"
2026-06-02,tb_version_major,151,10,2.0,5.0,above-baseline,1585164 1585167 1585179 1585181 1585187 1585210 1585216 1585218 1585233 1585266,https://support.mozilla.org/questions/1585164 https://support.mozilla.org/questions/1585167 https://support.mozilla.org/questions/1585179 https://support.mozilla.org/questions/1585181 https://support.mozilla.org/questions/1585187 https://support.mozilla.org/questions/1585210 https://support.mozilla.org/questions/1585216 https://support.mozilla.org/questions/1585218 https://support.mozilla.org/questions/1585233 https://support.mozilla.org/questions/1585266,"Problém přeposlání emailu s přílohou | do not export the emails | ""Sending Message"" progress box never closes | Reminder snooze options ""x minutes before start"" | Can't send email anymore"
2026-06-01,tb_version_major,151,7,1.0,7.0,above-baseline,1584960 1585002 1585036 1585052 1585069 1585107 1585108,https://support.mozilla.org/questions/1584960 https://support.mozilla.org/questions/1585002 https://support.mozilla.org/questions/1585036 https://support.mozilla.org/questions/1585052 https://support.mozilla.org/questions/1585069 https://support.mozilla.org/questions/1585107 https://support.mozilla.org/questions/1585108,"finding the Menu | Bei der Neueinrichtung auf einem neuen Rechner fehlt mir der | There are TWO folders ""Spam"" instead of one. I can't elimina | get error message ""Unable to log in at server. Probably wron | Outlook export CSV fails to assign fields properly when impo"
2026-05-31,tb_version_major,151,7,0.5,14.0,above-baseline,1584812 1584829 1584863 1584880 1584884 1584910 1584921,https://support.mozilla.org/questions/1584812 https://support.mozilla.org/questions/1584829 https://support.mozilla.org/questions/1584863 https://support.mozilla.org/questions/1584880 https://support.mozilla.org/questions/1584884 https://support.mozilla.org/questions/1584910 https://support.mozilla.org/questions/1584921,My TB Inbox no longer displays the date and time of incoming | threat detected when getting messages from sky email | Thunderbird is opening in edge instead of my default browser | installato da Microsoft Store su Win11 (thunderbird-MSIX - 1 | Help with Thunderbird Intsall on MacBook Air 2017
2026-05-30,tb_version_major,151,6,0.0,new,new/dormant,1584637 1584652 1584678 1584710 1584714 1584737,https://support.mozilla.org/questions/1584637 https://support.mozilla.org/questions/1584652 https://support.mozilla.org/questions/1584678 https://support.mozilla.org/questions/1584710 https://support.mozilla.org/questions/1584714 https://support.mozilla.org/questions/1584737,"having problems setting up my e mails ,I keep re entering my | Word couldn't send mail because of MAPI failure. | ho installato Thunderbird ma quando provo ad aprirla il mio  | Google workspace account will not authorize | How do I sort my Inbox, by Sender?"
2026-05-29,tb_version_major,151,13,0.0,new,new/dormant,1584400 1584405 1584425 1584490 1584491 1584492 1584519 1584522 1584535 1584538 1584543 1584561 1584576,https://support.mozilla.org/questions/1584400 https://support.mozilla.org/questions/1584405 https://support.mozilla.org/questions/1584425 https://support.mozilla.org/questions/1584490 https://support.mozilla.org/questions/1584491 https://support.mozilla.org/questions/1584492 https://support.mozilla.org/questions/1584519 https://support.mozilla.org/questions/1584522 https://support.mozilla.org/questions/1584535 https://support.mozilla.org/questions/1584538 https://support.mozilla.org/questions/1584543 https://support.mozilla.org/questions/1584561 https://support.mozilla.org/questions/1584576,Emails in inbox will not drag into sub folders | Can't delete duplicate Spam folder | how can I export the ASCII-armored public key? | Can't set up IMAP account in Thunderbird | tips for better calendar in Thunderbird
2026-05-28,tb_version_major,151,19,0.0,new,new/dormant,1584166 1584178 1584183 1584184 1584191 1584241 1584246 1584254 1584278 1584289 1584306 1584310 1584318 1584329 1584343 1584345 1584356 1584365 1584378,https://support.mozilla.org/questions/1584166 https://support.mozilla.org/questions/1584178 https://support.mozilla.org/questions/1584183 https://support.mozilla.org/questions/1584184 https://support.mozilla.org/questions/1584191 https://support.mozilla.org/questions/1584241 https://support.mozilla.org/questions/1584246 https://support.mozilla.org/questions/1584254 https://support.mozilla.org/questions/1584278 https://support.mozilla.org/questions/1584289 https://support.mozilla.org/questions/1584306 https://support.mozilla.org/questions/1584310 https://support.mozilla.org/questions/1584318 https://support.mozilla.org/questions/1584329 https://support.mozilla.org/questions/1584343 https://support.mozilla.org/questions/1584345 https://support.mozilla.org/questions/1584356 https://support.mozilla.org/questions/1584365 https://support.mozilla.org/questions/1584378,certificate for imap.gmail does not come from a trusted sour | I get a message that says my server certificate has expired  | Thunderbird在双屏上 怎么控制通知弹窗 | Emails are not getting downloaded | have 4 email addresses my X@optusnet.com.au cannot transmit 
2026-05-28,mail_provider,m:gmail,6,2.0,3.0,above-baseline,1584166 1584173 1584289 1584318 1584329 1584378,https://support.mozilla.org/questions/1584166 https://support.mozilla.org/questions/1584173 https://support.mozilla.org/questions/1584289 https://support.mozilla.org/questions/1584318 https://support.mozilla.org/questions/1584329 https://support.mozilla.org/questions/1584378,certificate for imap.gmail does not come from a trusted sour | email account | Thunderbird not showing follow-up email information. | Na overgang naar Windows11 kunnen mailaccounts van 2 hosting | Will I be able to see my email?
2026-05-27,tb_version_major,151,19,0.0,new,new/dormant,1583982 1583987 1584025 1584031 1584040 1584041 1584049 1584051 1584065 1584080 1584086 1584089 1584100 1584115 1584118 1584142 1584145 1584156 1584158,https://support.mozilla.org/questions/1583982 https://support.mozilla.org/questions/1583987 https://support.mozilla.org/questions/1584025 https://support.mozilla.org/questions/1584031 https://support.mozilla.org/questions/1584040 https://support.mozilla.org/questions/1584041 https://support.mozilla.org/questions/1584049 https://support.mozilla.org/questions/1584051 https://support.mozilla.org/questions/1584065 https://support.mozilla.org/questions/1584080 https://support.mozilla.org/questions/1584086 https://support.mozilla.org/questions/1584089 https://support.mozilla.org/questions/1584100 https://support.mozilla.org/questions/1584115 https://support.mozilla.org/questions/1584118 https://support.mozilla.org/questions/1584142 https://support.mozilla.org/questions/1584145 https://support.mozilla.org/questions/1584156 https://support.mozilla.org/questions/1584158,Why is spam from email addesses that are not in my address b | Unable to receive new emails even after deleting old message | Hoe bevestig ik de reminder zonder verwijderen? | Why Thunderbird hide yohoo accounts in Unufied folders? | can't receive messages since I updated this morning
2026-05-26,tb_version_major,151,13,0.0,new,new/dormant,1583799 1583802 1583817 1583826 1583831 1583840 1583882 1583895 1583896 1583933 1583935 1583941 1583944,https://support.mozilla.org/questions/1583799 https://support.mozilla.org/questions/1583802 https://support.mozilla.org/questions/1583817 https://support.mozilla.org/questions/1583826 https://support.mozilla.org/questions/1583831 https://support.mozilla.org/questions/1583840 https://support.mozilla.org/questions/1583882 https://support.mozilla.org/questions/1583895 https://support.mozilla.org/questions/1583896 https://support.mozilla.org/questions/1583933 https://support.mozilla.org/questions/1583935 https://support.mozilla.org/questions/1583941 https://support.mozilla.org/questions/1583944,"Authentication error when migrating Yahoo mail to Thunderbir | thunderbird is doubling my outgoing (sent) email, why? | Calendar Unavailable After Import Attempt | how to send spam straight to the spam folder | Provo a configurare Thunderbird ma il quadro e' oltre lo scr"
2026-05-26,mail_provider,m:yahooemail,5,1.0,5.0,above-baseline,1583799 1583831 1583902 1583916 1583952,https://support.mozilla.org/questions/1583799 https://support.mozilla.org/questions/1583831 https://support.mozilla.org/questions/1583902 https://support.mozilla.org/questions/1583916 https://support.mozilla.org/questions/1583952,"Authentication error when migrating Yahoo mail to Thunderbir | Provo a configurare Thunderbird ma il quadro e' oltre lo scr | I'm not getting new message downloads | Comcast has sent our accounts to yahoo, emal name remains th | How would I start T0Bird and stop Yahoo?"
2026-05-25,tb_version_major,151,9,0.0,new,new/dormant,1583611 1583640 1583683 1583686 1583707 1583716 1583731 1583747 1583779,https://support.mozilla.org/questions/1583611 https://support.mozilla.org/questions/1583640 https://support.mozilla.org/questions/1583683 https://support.mozilla.org/questions/1583686 https://support.mozilla.org/questions/1583707 https://support.mozilla.org/questions/1583716 https://support.mozilla.org/questions/1583731 https://support.mozilla.org/questions/1583747 https://support.mozilla.org/questions/1583779,How to turn on <tab> usage? | Thunderbird has slowed down significantly | Have just been upgraded to Thunderbird Release 151.0 and can | Preventing treading and reloading all my emails | multiple selection is pointless
2026-05-24,tb_version_major,151,9,0.0,new,new/dormant,1583438 1583463 1583477 1583486 1583493 1583531 1583564 1583567 1583610,https://support.mozilla.org/questions/1583438 https://support.mozilla.org/questions/1583463 https://support.mozilla.org/questions/1583477 https://support.mozilla.org/questions/1583486 https://support.mozilla.org/questions/1583493 https://support.mozilla.org/questions/1583531 https://support.mozilla.org/questions/1583564 https://support.mozilla.org/questions/1583567 https://support.mozilla.org/questions/1583610,"Ddelete mail from the server. | Does clearing up disk space from this option delete the emai | What does this mean - ""Sending of the message failed. The me | Thunderbird Login Outlook.com Mailbox Port Clash Bug | geen mail van gmail"
2026-05-23,tb_version_major,151,7,0.0,new,new/dormant,1583256 1583271 1583336 1583381 1583384 1583393 1583395,https://support.mozilla.org/questions/1583256 https://support.mozilla.org/questions/1583271 https://support.mozilla.org/questions/1583336 https://support.mozilla.org/questions/1583381 https://support.mozilla.org/questions/1583384 https://support.mozilla.org/questions/1583393 https://support.mozilla.org/questions/1583395,Clean install of thunderbird but no profile found in usual l | I cannot turn off 'threading' of messages. Ugh. | why are suddenly are all my emails going right to my trash b | Need help to have icon thunderbird on the tasbar. | Desktop Thunderbird no longer downloading from Yahoo email a
2026-05-22,tb_version_major,151,7,0.0,new,new/dormant,1583069 1583070 1583077 1583094 1583184 1583218 1583229,https://support.mozilla.org/questions/1583069 https://support.mozilla.org/questions/1583070 https://support.mozilla.org/questions/1583077 https://support.mozilla.org/questions/1583094 https://support.mozilla.org/questions/1583184 https://support.mozilla.org/questions/1583218 https://support.mozilla.org/questions/1583229,Thunderbird won't download messages from Yahoo webmail | How to save signiture and insert into email | o365 e-mail fiók kezelési probléma | Help! Can't Get Accounts or Emails Into New Thunderbird Inst | having problems configuring Thunderbird for use on videotron
2026-05-21,tb_version_major,151,8,0.0,new,new/dormant,1582899 1582914 1582920 1582948 1583006 1583028 1583030 1583046,https://support.mozilla.org/questions/1582899 https://support.mozilla.org/questions/1582914 https://support.mozilla.org/questions/1582920 https://support.mozilla.org/questions/1582948 https://support.mozilla.org/questions/1583006 https://support.mozilla.org/questions/1583028 https://support.mozilla.org/questions/1583030 https://support.mozilla.org/questions/1583046,"Thunderbird 151 message list in table view now has awful pit | import from old outlook | Posta inviata ma non compare in inviata | Why am I getting google sign in and authentication error whe | How to delete ""Local folders"" and the ""local account"""
2026-05-20,tb_version_major,151,10,0.0,new,new/dormant,1582677 1582681 1582702 1582713 1582728 1582753 1582768 1582799 1582808 1582835,https://support.mozilla.org/questions/1582677 https://support.mozilla.org/questions/1582681 https://support.mozilla.org/questions/1582702 https://support.mozilla.org/questions/1582713 https://support.mozilla.org/questions/1582728 https://support.mozilla.org/questions/1582753 https://support.mozilla.org/questions/1582768 https://support.mozilla.org/questions/1582799 https://support.mozilla.org/questions/1582808 https://support.mozilla.org/questions/1582835,Quick Filter shows only a few results. | Avvio di Thunderbird strano | Outlook Calendar Support for Version 151 | Message list background turned full black after 151.0 update | password problem
2026-05-20,protocol,proto:imap,5,1.0,5.0,above-baseline,1582623 1582664 1582679 1582735 1582768,https://support.mozilla.org/questions/1582623 https://support.mozilla.org/questions/1582664 https://support.mozilla.org/questions/1582679 https://support.mozilla.org/questions/1582735 https://support.mozilla.org/questions/1582768,"Unable to log in at server, Probably wrong configuration, us | Unsubscribe specific folder does not work | IMAP connection times out | Folders not Syncing to Webmail | How do I remove Archives and Templates from the Unified Fold"
2026-05-18,os,os:linux,6,1.5,4.0,above-baseline,1582226 1582287 1582299 1582358 1582372 1582382,https://support.mozilla.org/questions/1582226 https://support.mozilla.org/questions/1582287 https://support.mozilla.org/questions/1582299 https://support.mozilla.org/questions/1582358 https://support.mozilla.org/questions/1582372 https://support.mozilla.org/questions/1582382,TLS Certificate as Authentication for SMTP | Threading | Gekozen tekstkleur in nieuwe mails blijven altijd zwart.... | unable to send or recieve emails from roadrunner | Help setting up first email account (protonmail.com)
2026-05-16,tb_version_major,140,7,2.0,3.5,above-baseline,1581894 1581899 1581906 1581946 1581981 1581986 1582019,https://support.mozilla.org/questions/1581894 https://support.mozilla.org/questions/1581899 https://support.mozilla.org/questions/1581906 https://support.mozilla.org/questions/1581946 https://support.mozilla.org/questions/1581981 https://support.mozilla.org/questions/1581986 https://support.mozilla.org/questions/1582019,Thunderbird stopped sending messages | How to increasereading pane font | browser buttons gone | Does deleting an email account delete the associated emails? | Indexing hangs - any way to fix?
2026-05-15,tb_version_major,140,10,0.5,20.0,above-baseline,1581717 1581727 1581747 1581748 1581762 1581805 1581806 1581815 1581834 1581871,https://support.mozilla.org/questions/1581717 https://support.mozilla.org/questions/1581727 https://support.mozilla.org/questions/1581747 https://support.mozilla.org/questions/1581748 https://support.mozilla.org/questions/1581762 https://support.mozilla.org/questions/1581805 https://support.mozilla.org/questions/1581806 https://support.mozilla.org/questions/1581815 https://support.mozilla.org/questions/1581834 https://support.mozilla.org/questions/1581871,Have transferred my website to Crazy Domains and they need D | Where is my Thunderbird profile file (please read the entire | Frequent errors with account access | sort the subfolders alphabetically? | Non scarico alcuni messaggi da uno dei miei account gmail
2026-05-15,tb_version_major,150,17,3.5,4.86,above-baseline,1581733 1581751 1581763 1581773 1581778 1581785 1581807 1581809 1581817 1581832 1581835 1581844 1581848 1581858 1581869 1581875 1581876,https://support.mozilla.org/questions/1581733 https://support.mozilla.org/questions/1581751 https://support.mozilla.org/questions/1581763 https://support.mozilla.org/questions/1581773 https://support.mozilla.org/questions/1581778 https://support.mozilla.org/questions/1581785 https://support.mozilla.org/questions/1581807 https://support.mozilla.org/questions/1581809 https://support.mozilla.org/questions/1581817 https://support.mozilla.org/questions/1581832 https://support.mozilla.org/questions/1581835 https://support.mozilla.org/questions/1581844 https://support.mozilla.org/questions/1581848 https://support.mozilla.org/questions/1581858 https://support.mozilla.org/questions/1581869 https://support.mozilla.org/questions/1581875 https://support.mozilla.org/questions/1581876,"cannot send emails thunderbird changes dot into dash in the  | cannot set password for outgoing email | SIMPLIFY THUNDERBIRD. IT IS FAR TOO OVERCOMPLEX. | Help please, trying to do Yahoo Mail backup to Mac | Ao tentar inserir uma imagem em uma resposta, a imagem é ins"
2026-05-14,tb_version_major,150,12,0.0,new,new/dormant,1581574 1581589 1581591 1581600 1581607 1581623 1581632 1581643 1581655 1581677 1581688 1581690,https://support.mozilla.org/questions/1581574 https://support.mozilla.org/questions/1581589 https://support.mozilla.org/questions/1581591 https://support.mozilla.org/questions/1581600 https://support.mozilla.org/questions/1581607 https://support.mozilla.org/questions/1581623 https://support.mozilla.org/questions/1581632 https://support.mozilla.org/questions/1581643 https://support.mozilla.org/questions/1581655 https://support.mozilla.org/questions/1581677 https://support.mozilla.org/questions/1581688 https://support.mozilla.org/questions/1581690,почему при открытии сообщения в папке входящие предлагается  | How do I highlight selected text so it stands out? | cannot send emails | 接続エラー | I can't find a Copernic add-on. It used to be there but has 
2026-05-13,tb_version_major,140,6,0.0,new,new/dormant,1581461 1581470 1581481 1581504 1581536 1581543,https://support.mozilla.org/questions/1581461 https://support.mozilla.org/questions/1581470 https://support.mozilla.org/questions/1581481 https://support.mozilla.org/questions/1581504 https://support.mozilla.org/questions/1581536 https://support.mozilla.org/questions/1581543,"Is this ""threading""? | door een verkeerde manipulatie in menu of taakbalk is de ins | Can't access yahoo mail anymore after 4/04/26 | Unable to download emails | Thunderbird won't play sound on new message. (Xubuntu 26.04)"
2026-05-13,tb_version_major,150,15,0.0,new,new/dormant,1581362 1581363 1581365 1581376 1581404 1581406 1581418 1581459 1581472 1581474 1581477 1581486 1581503 1581515 1581524,https://support.mozilla.org/questions/1581362 https://support.mozilla.org/questions/1581363 https://support.mozilla.org/questions/1581365 https://support.mozilla.org/questions/1581376 https://support.mozilla.org/questions/1581404 https://support.mozilla.org/questions/1581406 https://support.mozilla.org/questions/1581418 https://support.mozilla.org/questions/1581459 https://support.mozilla.org/questions/1581472 https://support.mozilla.org/questions/1581474 https://support.mozilla.org/questions/1581477 https://support.mozilla.org/questions/1581486 https://support.mozilla.org/questions/1581503 https://support.mozilla.org/questions/1581515 https://support.mozilla.org/questions/1581524,"""Exchange auth error"" when trying to add Outlook or Gmail ac | Understanding the 'Folder' Menu | Unable to add new account by POP | Authentification Error | Не получается зайти в почту mail.ru, пишет браузер устарел"
2026-05-13,protocol,proto:pop,5,1.0,5.0,above-baseline,1581365 1581376 1581474 1581477 1581481,https://support.mozilla.org/questions/1581365 https://support.mozilla.org/questions/1581376 https://support.mozilla.org/questions/1581474 https://support.mozilla.org/questions/1581477 https://support.mozilla.org/questions/1581481,Unable to add new account by POP | Authentification Error | Can’t send email via AT&T account | Unable to write email to mailbox | Can't access yahoo mail anymore after 4/04/26
2026-05-13,os,os:windows,20,4.5,4.44,above-baseline,1581362 1581363 1581365 1581376 1581404 1581406 1581411 1581418 1581426 1581461 1581470 1581472 1581474 1581477 1581481 1581486 1581504 1581515 1581524 1581539,https://support.mozilla.org/questions/1581362 https://support.mozilla.org/questions/1581363 https://support.mozilla.org/questions/1581365 https://support.mozilla.org/questions/1581376 https://support.mozilla.org/questions/1581404 https://support.mozilla.org/questions/1581406 https://support.mozilla.org/questions/1581411 https://support.mozilla.org/questions/1581418 https://support.mozilla.org/questions/1581426 https://support.mozilla.org/questions/1581461 https://support.mozilla.org/questions/1581470 https://support.mozilla.org/questions/1581472 https://support.mozilla.org/questions/1581474 https://support.mozilla.org/questions/1581477 https://support.mozilla.org/questions/1581481 https://support.mozilla.org/questions/1581486 https://support.mozilla.org/questions/1581504 https://support.mozilla.org/questions/1581515 https://support.mozilla.org/questions/1581524 https://support.mozilla.org/questions/1581539,"""Exchange auth error"" when trying to add Outlook or Gmail ac | Understanding the 'Folder' Menu | Unable to add new account by POP | Authentification Error | Не получается зайти в почту mail.ru, пишет браузер устарел"
2026-05-12,tb_version_major,140,7,0.0,new,new/dormant,1581199 1581222 1581240 1581253 1581265 1581281 1581300,https://support.mozilla.org/questions/1581199 https://support.mozilla.org/questions/1581222 https://support.mozilla.org/questions/1581240 https://support.mozilla.org/questions/1581253 https://support.mozilla.org/questions/1581265 https://support.mozilla.org/questions/1581281 https://support.mozilla.org/questions/1581300,Correct set up for outgoing mail but server will not process | I AM NOT ABLE TO SEND EMAILS | Thunderbird does not fetch all RSS feeds | Unable to determine if mbox files input from Google Take Out | I want Thunderbird to load emails from my gmail account as w
